Height,Error Probability
2685289,1.10822864417428e-08
2685290,4.473054631611954e-09
2685291,1.83923172973234e-09
2685292,2.4188399511745806e-09
2685293,4.505598168981973e-09
2685294,1.4756472348990404e-08
2685295,6.730475949178008e-09
2685296,1.4764689843753974e-08
2685297,1.4762391252621054e-08
2685298,2.1958628214853334e-08
2685299,6.271491099644075e-08
2685300,1.063394820351846e-08
2685301,8.323953801381002e-09
2685302,1.1006553992422705e-08
2685303,3.1883137565567163e-09
2685304,7.93197127624278e-10
2685305,9.497277427637162e-10
2685306,9.47517563363808e-10
2685307,6.939935201356771e-10
2685308,1.2996712783137984e-09
2685309,3.291480128228754e-09
2685310,1.0981790413308697e-08
2685311,8.157422565861736e-09
2685312,2.6471785975151877e-08
2685313,9.076242465778283e-09
2685314,8.323953801380631e-09
2685315,4.473888020069361e-09
2685316,4.5055999639995966e-09
2685317,4.465376969310603e-09
2685318,3.1883112586209865e-09
2685319,2.773311180642235e-09
2685320,8.157792394863469e-09
2685321,1.982551980071764e-08
2685322,8.229432714289493e-09
2685323,1.979308565454925e-08
2685324,6.26850952532097e-08
2685325,2.6525571336215747e-08
2685326,3.541927616404401e-08
2685327,1.9825519655362253e-08
2685328,3.653398914904101e-08
2685329,4.870798097969579e-08
2685330,6.325351175271878e-08
2685331,1.462851698245252e-07
2685332,4.7130737740438065e-08
2685333,1.463317204010315e-07
2685334,2.5795738328085913e-07
2685335,4.4576778252664417e-07
2685336,5.928511899066833e-07
2685337,1.3466602968336487e-06
2685338,1.054174588744236e-06
2685339,2.641721830223647e-07
2685340,1.4758870264852005e-07
2685341,5.216107528138974e-08
2685342,8.330443496759313e-08
2685343,2.7367229175416347e-08
2685344,2.0471955165709594e-08
2685345,1.978575123437291e-08
2685346,1.996298016634663e-08
2685347,3.535055953579345e-08
2685348,1.9153503306039123e-08
2685349,1.433427408553128e-08
2685350,1.6932855783052095e-08
2685351,1.5266420808931186e-08
2685352,6.268206550945068e-08
2685353,6.934956164147726e-08
2685354,1.2594558570892791e-08
2685355,1.1107671261542129e-08
2685356,4.624251983947752e-09
2685357,2.5090561993734703e-09
2685358,6.099378041273173e-09
2685359,1.978524430962744e-08
2685360,6.270556588720513e-08
2685361,4.713073773967796e-08
2685362,4.7206165972278894e-08
2685363,8.326507684125356e-08
2685364,8.39808140241136e-08
2685365,1.9352818382619026e-07
2685366,1.9517830935746417e-07
2685367,2.562774131725827e-07
2685368,2.579573834151573e-07
2685369,1.5102877526859846e-07
2685370,6.940086635015886e-08
2685371,6.391057716135792e-08
2685372,4.721427323065143e-08
2685373,9.076249444218609e-09
2685374,1.4758440786228361e-08
2685375,8.171168990852809e-09
2685376,1.9793075945550997e-08
2685377,1.4786804583419205e-08
