Height,Error Probability
3356200.0,4.030210467293398e-18
3356201.0,1.7269860212483735e-18
3356202.0,1.1178918696627914e-17
3356203.0,1.6243761745428194e-18
3356204.0,1.5357602318544015e-19
3356205.0,1.0923491381918738e-19
3356206.0,2.5755180510319927e-20
3356207.0,1.0631426686065333e-19
3356208.0,5.2618618190472225e-20
3356209.0,2.051010221594569e-21
3356210.0,5.984269654174616e-21
3356211.0,2.9138330722264965e-22
3356212.0,2.8449864650794967e-21
3356213.0,2.575407951067428e-20
3356214.0,6.200954521756698e-21
3356215.0,6.0313134004589396e-21
3356216.0,3.26839652801986e-21
3356217.0,5.254269919017031e-20
3356218.0,5.955440006126456e-20
3356219.0,1.2953441106871067e-20
3356220.0,1.0633834931949816e-19
3356221.0,4.743498155986449e-19
3356222.0,5.932009413623301e-18
3356223.0,3.878378886984656e-17
3356224.0,2.0886170930530236e-17
3356225.0,2.2910119213808117e-16
3356226.0,2.098419014498404e-17
3356227.0,1.1238309966826408e-17
3356228.0,2.0984190195124987e-17
3356229.0,2.1410348035550176e-17
3356230.0,7.057507254505504e-17
3356231.0,7.09516394633576e-17
3356232.0,6.085962365989556e-18
3356233.0,1.277920258153468e-16
3356234.0,7.142999855650869e-16
3356235.0,7.171248299412304e-16
3356236.0,7.136255348831172e-16
3356237.0,1.2414310405833866e-15
3356238.0,1.68766025034664e-14
3356239.0,1.687660250346623e-14
3356240.0,1.789861956485706e-13
3356241.0,2.247366780397679e-12
3356242.0,4.907351775045493e-12
3356243.0,1.5841092017533369e-12
3356244.0,2.249244552205926e-12
3356245.0,1.0036701005095479e-12
3356246.0,2.277205291839678e-12
3356247.0,1.0355337461059139e-11
3356248.0,7.478074756352613e-12
3356249.0,1.0363156811821749e-11
3356250.0,2.1604530645005837e-11
3356251.0,3.260168209581436e-12
3356252.0,1.5057119091969625e-12
3356253.0,4.3931384904020515e-13
3356254.0,4.3541668286899227e-13
3356255.0,4.766230754133847e-14
3356256.0,2.7891391757838864e-13
3356257.0,4.3101839185697036e-13
3356258.0,6.688208373652399e-13
3356259.0,2.8317708991355475e-13
3356260.0,4.3217798548273457e-13
3356261.0,2.2541217071598616e-12
3356262.0,2.1358746137751917e-11
3356263.0,1.0541888684357801e-12
3356264.0,1.0553730543742096e-12
3356265.0,2.255159312249764e-12
3356266.0,1.4917229858549423e-11
3356267.0,1.0383577707815989e-11
3356268.0,1.1896224316986004e-11
3356270.0,2.1373915222739762e-11
3356271.0,1.1896224333636263e-11
3356272.0,1.6019926813005386e-11
3356274.0,7.537617627190432e-12
3356275.0,7.151440805969593e-12
3356276.0,1.0383583559093144e-11
3356277.0,1.035631009834477e-11
3356278.0,3.863296231009739e-12
3356279.0,1.5212306477630033e-12
3356280.0,1.5261359086888258e-12
3356281.0,7.1625639051511045e-12
3356282.0,2.6184861409024732e-12
3356283.0,1.0013811939093058e-12
3356284.0,4.371288308809134e-13
3356285.0,1.0036715855308776e-12
3356286.0,4.896143053726929e-12
3356287.0,7.1427204962335655e-12
3356288.0,2.1414304472090093e-11
3356289.0,2.1414304475706953e-11
3356290.0,5.128947236954712e-12
3356291.0,7.148148721254281e-12
3356292.0,4.955085137439655e-12
3356293.0,9.852602805840075e-13
3356294.0,4.35908489637305e-13
3356295.0,4.893623726398523e-12
3356296.0,4.552488903347867e-13
3356297.0,7.636970559934066e-14
3356298.0,7.637812507826818e-14
3356299.0,6.131058997830178e-15
3356300.0,2.988455575359241e-16
3356301.0,2.333484004075252e-16
3356302.0,1.1474064888315352e-17
3356303.0,1.1666692855078792e-18
3356304.0,4.334553580627287e-19
3356305.0,8.310286732238038e-19
3356306.0,5.430983221929058e-20
3356307.0,4.2263238442379093e-19
3356308.0,1.0707850926970772e-19
3356309.0,4.2263123584970267e-19
3356310.0,4.356507056969791e-19
3356311.0,4.824464527366552e-19
3356312.0,2.3093744862598017e-19
3356313.0,5.921510464470038e-18
3356314.0,2.0886170900366223e-17
3356315.0,4.241476829893173e-17
3356316.0,1.174862975589795e-18
3356317.0,1.6171043792756302e-18
3356318.0,3.048649938069514e-19
3356319.0,1.6530346395351066e-18
3356320.0,1.6142472584123388e-18
3356321.0,3.12665806758533e-18
3356322.0,2.0984190195124635e-17
3356323.0,7.063820228715233e-17
3356324.0,3.95490218988878e-17
