"height","block_counts","coalesce"
3349680,6,0
3349681,5,0
3349682,3,0
3349683,2,0
3349684,2,0
3349685,5,0
3349686,7,0
3349687,5,0
3349688,3,0
3349689,6,0
3349690,8,0
3349691,5,0
3349692,2,0
3349693,5,0
3349694,7,0
3349695,5,1
3349696,1,0
3349697,5,0
3349698,5,0
3349699,5,0
3349700,6,0
3349701,1,0
3349702,8,0
3349703,4,0
3349704,9,0
3349705,6,0
3349706,5,0
3349707,6,0
3349708,3,0
3349709,5,0
3349710,6,0
3349711,4,0
3349712,3,0
3349713,4,0
3349714,8,0
3349715,6,0
3349716,7,0
3349717,7,0
3349718,3,1
3349719,5,1
3349720,4,0
3349721,8,0
3349722,5,0
3349723,5,0
3349724,3,0
3349725,10,0
3349726,2,0
3349727,4,0
3349729,3,0
3349730,4,0
3349731,3,0
NULL,NULL,1
3349733,5,0
3349734,2,0
3349735,4,0
3349736,7,0
3349737,3,3
3349738,4,0
3349739,6,0
3349740,7,0
3349741,7,0
3349742,4,0
3349743,5,0
3349744,7,0
3349745,4,0
3349746,8,0
3349747,7,0
3349748,3,0
3349749,7,0
3349750,9,0
3349751,3,0
3349752,5,0
3349753,2,0
3349754,4,0
3349755,6,0
3349756,5,0
3349757,8,0
3349758,6,0
3349759,3,0
3349760,2,0
3349762,6,0
3349763,4,0
3349764,10,0
3349765,11,0
3349766,6,0
3349767,5,0
3349768,4,1
3349769,5,1
3349770,7,1
3349771,3,0
3349772,5,0
3349773,3,0
3349774,5,0
3349775,4,0
3349776,5,0
3349777,5,0
3349778,6,0
3349779,11,0
3349780,5,0
3349781,4,0
3349782,3,0
3349783,4,0
3349784,3,0
3349785,4,0
3349786,2,0
3349787,6,0
3349788,4,0
3349789,2,0
3349790,4,0
3349791,6,0
3349792,7,0
3349793,6,0
3349794,3,0
3349795,4,1
3349796,1,0
3349797,5,0
3349798,2,0
3349799,3,0
3349800,2,0
3349801,5,0
3349802,4,0
3349803,7,0
3349804,5,0
3349805,3,0
3349806,5,0
3349807,11,0
3349808,2,0
3349809,6,0
3349810,5,0
3349811,4,0
3349812,3,0
3349813,2,0
3349814,5,0
3349815,2,0
3349816,3,0
3349817,5,0
3349818,4,0
3349819,6,0
3349820,6,0
3349821,7,0
3349822,6,0
3349823,9,0
3349824,4,0
3349825,3,0
3349826,4,0
3349827,6,0
3349828,3,0
3349829,5,0
3349830,5,0
3349831,9,0
3349832,3,0
3349833,6,0
3349834,4,0
3349835,7,0
3349836,6,0
3349837,5,0
3349838,5,0
3349839,10,0
3349840,9,0
3349841,3,1
3349842,6,0
3349843,4,1
3349844,3,1
3349845,5,1
3349846,6,0
3349847,3,0
3349848,4,0
3349849,4,0
3349850,5,0
3349851,8,1
3349852,5,0
3349853,2,0
3349854,4,0
3349855,4,2
3349856,8,0
3349857,5,0
3349858,5,0
3349859,6,0
3349860,1,0
3349861,4,0
3349862,5,0
3349863,6,0
3349864,6,0
3349865,1,0
3349866,2,0
3349867,5,0
3349868,8,0
3349869,3,0
3349870,7,0
3349871,5,0
3349872,4,0
3349873,8,0
3349874,1,0
3349875,3,0
3349876,2,0
3349877,6,0
3349878,6,0
3349880,8,0
3349881,3,1
3349882,3,6
3349883,3,0
3349884,4,0
3349885,3,0
3349886,3,0
3349887,3,0
3349888,3,0
3349889,3,0
3349890,4,0
3349891,4,1
3349892,7,0
3349893,6,0
3349894,6,0
3349895,4,0
3349896,4,0
3349897,1,0
3349898,4,0
3349899,1,0
3349900,5,0
3349901,5,0
3349902,6,0
3349903,2,0
3349904,4,0
3349905,6,0
3349906,9,0
3349907,6,0
3349908,6,0
3349909,5,0
3349910,1,0
3349911,9,0
3349912,3,0
3349913,4,0
3349914,4,2
3349915,5,0
3349916,3,0
3349917,2,0
3349918,5,0
3349919,4,0
3349920,11,0
3349921,3,0
3349922,2,0
3349923,6,0
3349924,3,0
3349925,8,0
3349926,2,1
3349927,5,0
3349928,4,2
3349929,6,0
3349930,3,0
3349931,8,0
3349932,1,0
3349933,1,0
3349934,3,0
3349935,6,0
3349936,6,0
3349937,3,2
3349938,6,0
3349939,3,0
3349940,7,0
3349941,5,0
3349942,7,0
3349943,5,0
3349944,6,0
3349945,3,0
3349946,8,0
3349947,8,0
3349948,7,0
3349949,9,0
3349950,2,0
3349951,4,0
3349953,5,0
3349954,6,0
3349955,6,0
3349956,8,0
3349957,4,0
3349958,6,0
3349960,4,0
3349961,1,0
3349962,8,0
3349963,2,0
3349964,3,0
3349965,5,0
3349966,3,0
3349967,3,0
3349968,3,0
3349969,7,0
3349970,2,0
3349971,2,0
3349972,6,0
3349973,6,0
3349974,8,0
3349975,4,1
3349976,4,0
3349977,3,0
3349978,8,0
3349979,2,0
3349980,5,0
3349981,3,0
3349982,7,0
3349983,3,0
3349984,2,0
3349985,7,0
3349986,3,0
3349987,9,0
3349988,3,1
3349989,4,0
3349990,9,0
3349991,8,0
3349992,5,0
3349993,5,0
3349994,3,0
3349995,2,0
3349996,5,0
3349997,7,0
3349998,3,0
3349999,5,0
3350000,5,0
3350001,5,0
3350002,5,0
3350003,7,0
3350004,3,0
3350005,7,0
3350006,3,0
3350007,8,0
3350008,1,0
3350009,3,0
3350010,4,0
3350011,6,0
3350012,4,0
3350013,4,0
3350014,1,0
3350015,2,0
3350016,6,0
3350017,1,0
3350018,5,0
3350019,2,0
3350020,8,0
3350021,6,0
3350022,8,0
3350023,7,1
3350024,5,1
3350025,4,0
3350026,5,0
3350027,4,0
3350028,3,2
3350029,4,0
3350030,6,0
3350031,8,0
3350032,12,0
3350033,5,0
3350034,6,0
3350035,6,0
3350036,4,0
3350037,2,0
3350038,2,0
3350039,6,0
3350040,5,0
3350041,3,0
3350042,4,0
3350043,7,0
3350044,5,0
3350045,7,0
3350046,6,0
3350047,3,0
3350048,6,0
3350049,12,0
3350050,6,0
3350051,3,0
3350052,4,0
3350053,7,0
3350054,8,0
3350055,8,0
3350056,8,0
3350057,4,0
3350058,7,0
3350059,4,0
3350060,6,0
3350061,9,0
3350062,6,0
3350063,5,0
3350064,7,0
3350065,6,0
3350066,6,0
3350067,1,0
3350068,4,0
3350069,6,0
3350070,8,0
3350071,7,0
3350072,4,0
3350073,9,0
3350074,2,0
3350075,6,1
3350076,4,0
3350077,2,2
3350078,5,0
3350079,5,0
3350080,7,0
3350081,8,0
3350082,1,6
3350083,5,0
3350084,3,0
3350085,2,6
3350086,6,0
3350087,2,0
3350088,4,0
3350089,6,0
3350090,4,0
3350091,6,0
3350092,1,0
3350093,6,0
3350094,5,1
3350095,5,0
3350096,4,3
3350097,4,0
3350098,5,0
3350099,3,0
3350100,7,0
3350101,7,0
3350102,4,0
3350103,3,1
3350104,7,0
3350105,9,0
3350106,9,0
3350107,2,0
3350108,1,0
3350109,6,0
3350110,3,0
3350111,4,0
3350112,6,0
3350113,5,1
3350114,5,0
3350115,1,0
3350116,3,0
3350117,7,0
3350118,7,0
3350119,6,0
3350120,5,0
3350121,3,0
3350122,6,0
3350123,3,0
3350124,2,0
3350125,6,0
3350126,1,2
3350127,4,0
3350128,4,0
3350129,8,0
3350130,5,0
3350131,6,0
3350132,5,0
3350133,3,0
3350134,6,0
3350135,3,0
3350136,5,0
3350137,4,0
3350138,2,0
3350139,7,0
3350140,9,0
3350141,6,0
3350142,6,0
3350143,5,0
3350144,3,0
3350145,5,0
3350146,1,0
3350147,5,0
3350148,2,0
3350149,6,0
3350150,3,0
3350151,6,0
3350152,3,0
3350153,5,0
3350154,3,0
3350155,6,0
3350156,11,0
3350157,3,0
3350158,5,0
3350159,6,0
3350160,7,0
3350161,5,0
3350162,8,0
3350163,4,0
3350164,2,0
3350165,1,0
3350166,7,0
3350167,4,1
3350168,2,0
3350169,9,0
3350170,8,0
3350171,7,0
3350172,3,0
3350173,4,0
3350174,4,0
3350175,5,0
3350176,2,0
3350177,4,0
3350178,2,0
3350179,7,1
3350180,2,2
3350181,3,0
3350182,10,0
3350183,6,1
3350184,7,0
3350185,6,0
3350186,4,0
3350187,3,0
3350188,3,0
3350189,5,0
3350190,6,0
3350191,2,0
3350192,7,0
3350193,5,0
3350194,3,0
3350195,6,0
3350196,4,0
3350197,3,0
3350198,4,0
3350199,5,0
3350200,7,0
3350201,1,0
3350202,5,0
3350204,6,0
3350205,6,0
3350206,3,0
3350207,5,0
3350208,6,0
3350209,5,0
3350210,1,0
3350211,5,0
3350212,6,0
3350213,7,0
3350214,6,0
3350215,5,0
3350216,5,0
3350217,2,0
3350219,6,0
3350220,4,0
3350221,5,0
3350222,2,0
3350223,7,0
3350224,8,0
3350225,6,0
3350226,5,0
3350227,3,0
3350228,4,0
3350229,4,0
3350230,8,0
3350231,4,0
3350232,2,0
3350233,5,0
3350234,6,0
3350235,4,0
3350236,3,4
3350237,7,0
3350238,3,0
3350239,5,0
3350240,8,0
3350241,4,0
3350242,1,0
3350243,1,0
3350244,6,0
3350245,5,0
3350246,4,0
3350247,5,0
3350248,3,0
3350249,6,0
3350250,2,0
3350251,3,0
3350252,7,0
3350253,3,0
3350254,2,0
3350255,3,0
3350256,5,0
3350257,3,0
3350258,5,0
3350259,2,0
3350260,7,0
3350261,3,2
3350262,7,0
3350263,5,0
3350264,6,0
3350265,5,0
3350266,4,0
3350267,8,0
3350268,5,0
3350269,6,0
3350270,6,0
3350271,3,0
3350272,4,0
3350273,10,0
3350274,8,0
3350275,5,0
3350276,9,0
3350277,2,0
3350278,6,0
3350279,3,0
3350280,3,0
3350281,8,0
3350282,2,0
3350283,4,0
3350284,5,0
3350285,1,0
3350286,5,0
3350287,4,1
3350288,8,0
3350289,5,0
3350290,7,0
3350291,7,0
3350292,2,0
3350293,1,0
3350294,3,0
3350295,3,0
3350296,1,1
3350297,4,0
3350298,4,0
3350299,3,0
3350300,4,0
3350301,6,0
3350302,5,0
3350303,3,0
3350304,3,0
3350305,3,0
3350306,1,0
3350307,7,0
3350308,5,2
3350309,5,0
3350310,1,0
3350311,6,0
3350312,4,0
3350313,5,0
3350314,4,0
3350315,8,0
3350316,11,0
3350317,5,0
3350318,4,0
3350319,4,0
3350320,8,0
3350321,4,1
3350322,3,0
3350323,2,0
3350324,2,0
3350325,1,0
3350326,10,0
3350327,6,0
3350328,3,0
3350329,2,0
3350330,4,0
3350331,2,0
3350332,6,0
3350333,5,0
3350335,10,0
3350336,8,0
3350337,3,0
3350338,7,0
3350339,5,0
3350340,5,0
3350341,9,0
3350342,5,0
3350343,5,1
3350344,3,0
3350345,4,0
3350346,11,0
3350347,4,0
3350348,4,0
3350349,5,0
3350350,10,0
3350351,4,0
3350352,6,0
3350353,6,0
3350354,5,0
3350355,7,0
3350356,5,0
3350357,9,0
3350358,3,0
3350359,6,0
3350360,4,0
3350361,4,0
3350362,4,0
3350363,3,0
3350364,2,0
3350365,2,0
3350366,5,0
3350367,4,1
3350368,6,0
3350369,7,0
3350370,7,0
3350371,11,0
3350372,3,0
3350373,5,0
3350374,7,0
3350375,8,0
3350376,5,0
3350377,2,0
3350378,7,0
3350379,6,0
3350380,5,0
3350381,5,4
3350382,4,0
3350383,5,0
3350384,4,0
3350385,8,0
3350386,4,0
3350387,4,0
3350388,6,0
3350389,3,0
3350390,5,0
3350391,3,0
3350392,7,1
3350393,2,0
3350394,4,0
3350395,4,0
3350396,4,0
3350397,6,0
3350398,3,0
3350399,6,0
3350400,6,0
3350401,6,0
3350402,3,0
3350403,7,0
3350404,6,0
3350405,4,0
3350406,8,0
3350407,4,3
3350408,8,0
3350409,4,0
3350410,9,0
3350411,4,0
3350412,6,0
3350413,5,0
3350414,4,0
3350415,7,0
3350416,6,0
3350417,6,0
3350418,4,0
3350419,7,0
3350420,5,0
3350421,3,0
3350422,5,0
3350423,7,0
3350424,3,0
3350425,4,1
3350426,5,0
3350427,5,0
3350428,4,0
3350429,4,0
3350430,6,0
3350431,3,0
3350432,4,0
3350433,3,0
3350434,6,0
3350435,3,0
3350436,7,0
3350437,5,0
3350438,2,0
3350439,5,0
3350440,9,0
3350441,3,0
3350443,9,0
3350444,5,0
3350445,6,0
3350446,4,0
3350447,9,0
3350448,6,1
3350449,5,0
3350450,6,0
3350451,10,0
3350452,6,0
3350453,7,0
3350454,8,0
3350455,5,0
3350456,6,0
3350457,3,0
3350458,4,0
3350459,4,0
3350460,3,0
3350461,4,0
3350462,8,0
3350463,7,0
3350464,5,0
3350465,5,0
3350466,4,0
3350467,4,0
3350468,4,0
3350469,2,0
3350470,4,0
3350471,5,0
3350472,4,0
3350473,6,0
3350474,5,0
3350475,3,0
3350476,5,0
3350477,2,0
3350478,9,0
3350479,6,0
3350480,9,0
3350481,10,0
3350482,3,0
3350483,5,0
3350484,8,0
3350485,2,2
3350486,5,0
3350487,8,0
3350488,7,0
3350489,9,0
3350490,6,0
3350491,9,0
3350492,4,0
3350493,4,0
3350494,5,0
3350495,9,0
3350496,3,0
3350497,10,0
3350498,2,0
3350499,5,0
3350500,4,0
3350501,2,0
3350502,2,0
3350503,4,0
3350504,5,0
3350505,6,0
3350506,4,0
3350507,6,0
3350508,3,0
3350509,6,0
3350510,6,0
3350511,10,0
3350513,6,0
3350514,3,0
3350515,6,0
3350516,10,0
3350517,7,0
3350518,6,0
3350519,6,0
3350520,4,0
3350521,6,0
3350522,3,0
3350523,5,0
3350524,4,0
3350525,4,0
3350526,4,0
3350527,6,0
3350528,5,0
3350529,5,0
3350530,5,0
3350531,8,0
3350532,3,0
3350533,4,0
3350534,2,0
3350535,7,0
3350536,6,0
3350537,4,0
3350538,4,0
3350539,2,0
3350540,7,0
3350541,5,0
3350542,8,0
3350543,6,0
3350544,6,0
3350545,5,0
3350546,6,0
3350547,3,1
3350548,6,0
3350550,4,0
3350551,4,0
3350552,6,0
3350553,7,0
3350554,6,0
3350555,4,0
3350556,6,0
3350557,4,0
3350558,4,0
3350559,9,0
3350560,4,0
3350561,5,0
3350562,5,1
3350563,4,1
3350564,3,3
3350565,1,0
3350566,9,0
3350567,5,0
3350568,6,0
3350569,2,0
