Height,Error
2685306,2.0632844086632156e-13
2686316,1.9893143039782182e-13
2687326,2.621768088265606e-10
2688335,8.249040141540948e-14
2689342,2.415641971833283e-12
2690351,1.6236291531928355e-12
2691362,7.746795371235346e-14
2692370,9.247638058522722e-12
2693381,1.9040426435033313e-11
2694387,2.538337811786953e-14
2695394,5.618729347831605e-14
2696402,2.3952567751081344e-14
2697407,3.2819401511012078e-12
2698412,1.1472674301843177e-12
2699417,3.099313398162157e-14
2700428,2.1160441097799065e-13
2701437,5.2911838354974125e-14
2702440,3.321844399466626e-14
2703447,1.2621208848590633e-14
2704458,3.0105094093936494e-13
2705469,1.3307405111770132e-10
2706480,3.430958565972025e-14
2707490,1.6314109310596628e-12
2708500,2.0616851240418157e-14
2709511,2.8288080913645045e-13
2710517,1.9463425054634972e-13
2711528,2.2554393001851414e-12
2712534,2.061168412608562e-14
2713540,3.2846726566944356e-12
2714544,4.339977544286856e-14
2715547,2.581031920554303e-11
2716556,4.6900502448460165e-12
2717569,1.0915941711275178e-13
2718578,2.4100160117146838e-14
2719583,2.0636152116281928e-14
2720592,3.576495111157803e-11
2721604,1.7595768872209844e-14
2722609,1.8440052167014215e-14
2723614,1.6300372801381595e-14
2724621,2.6753794686368172e-14
2725630,7.253727894447254e-14
2726634,5.88143579691772e-13
2727641,8.125992154612665e-13
2728651,1.1942454922762757e-12
2729656,1.980057581161881e-13
2730666,3.938465705293109e-13
2731676,2.3927652559620146e-14
2732678,2.5810588687607962e-11
2733689,1.1176888272487058e-12
2734697,1.1444508235253942e-12
2735705,4.3318878994158484e-14
2736715,2.007682558389504e-13
2737730,1.1438554099654175e-12
2738741,2.6936527516115008e-11
2739756,1.1229741574018247e-13
2740765,1.940408369174524e-13
2741778,1.5615002635875312e-14
2742783,9.692045951781965e-11
2743796,2.0611684126087633e-14
2744802,2.1638965356911985e-14
2745822,2.3487262756048744e-14
2746838,3.8181981037189817e-14
2747850,1.1618953963252145e-12
2748861,1.8440052166679574e-14
2749868,1.1307691504009008e-12
2750876,7.141847866232489e-14
2751883,4.655178921599831e-12
2752892,7.75828175228077e-12
2753906,6.831644261471563e-12
2754917,4.550660386393114e-14
2755928,1.844417460682158e-11
2756937,2.530906606028088e-10
2757946,3.5762815650478036e-11
2758953,1.1754782717161582e-12
2759957,1.3333713575354428e-08
2760971,5.7665215981374424e-08
2761990,1.6170706797622152e-10
2763009,7.389265367291241e-09
2764025,1.863344423676627e-12
2765038,4.768691862763573e-10
2766046,2.3359032925124044e-10
2767062,1.2605574239268358e-09
2768071,1.6431720517437714e-09
2769090,8.392360207474602e-13
2770101,7.353110040208122e-08
2771114,1.3307644802327799e-10
2772126,4.9752517441592885e-11
