Height,Error
3350592,2.924305002042624e-13
3351595,1.750469010407714e-14
3352603,3.0749373129582786e-14
3353605,1.9071728827446647e-14
3354612,1.1313283803831882e-11
3355625,2.9963770709839096e-13
3356635,1.458744874123556e-11
3357639,3.089036828926918e-13
3358643,3.999354535531404e-14
3359650,1.0994286997861195e-13
3360656,1.474033685335893e-14
3361661,1.9683723476024942e-14
3362664,1.4364502072498572e-10
3363669,1.2552136964874117e-14
3364673,1.2282512398346525e-14
3365679,8.622964595121232e-13
3366682,3.778534301846468e-14
3367690,1.9668215233658384e-14
3368697,4.5876164532704294e-14
3369700,1.7488509613903402e-12
3370705,1.1222030198402084e-13
3371712,1.749828225536782e-12
3372717,1.1981371974099207e-14
3373722,2.035137527417335e-14
3374727,1.7756397141518112e-14
3375737,2.0995434411405162e-14
3376745,5.367358890997065e-11
3377754,3.493423469759338e-14
3378758,1.84944511945809e-14
3379760,6.628529899363086e-14
3380761,2.0320044343807756e-14
3381767,2.229690652544593e-11
3382770,1.5008173875745322e-13
3383780,1.757570914350085e-12
3384786,1.4736738567215334e-14
3385793,2.015326163084162e-14
3386804,2.2328355418821717e-14
3387807,2.988744687779083e-13
3388812,2.677315776005658e-14
3389818,1.4364503295661048e-10
3390828,1.1912152858162709e-14
3391832,2.6332370137020554e-14
3392840,6.75590292879343e-14
3393852,1.4780421899756076e-14
3394855,1.7460992025942567e-12
3395863,3.7100203777837284e-10
3396869,1.9668693897782798e-11
3397870,1.668814476006033e-14
3398878,2.536535772563585e-14
3399882,1.68328077267246e-14
3400894,6.924699824251897e-13
3401902,8.035724996955818e-12
3402910,8.089791179611105e-14
3403912,1.006996022251093e-12
3404919,1.8210736311501207e-12
3405922,8.689497554158488e-13
3406929,1.746446700380071e-14
3407939,6.03291654828063e-13
3408943,1.1020284515843226e-13
3409950,6.033589870361251e-14
3410960,1.9711484334782777e-14
3411964,6.31947419298263e-13
3412973,2.1605441977207119e-13
3413979,2.518160868666096e-12
3414984,1.9905225192892378e-14
3415992,5.344612021900244e-12
3417000,1.5223071541638634e-14
3418011,3.4981968294633135e-14
3419022,3.671901974830892e-14
3420028,2.1299214120021313e-14
3421036,6.06854701443966e-13
3422044,1.971180155553959e-14
3423054,6.315465693458817e-13
3424059,1.2680317145618636e-13
3425065,1.0795301490681833e-13
3426071,1.2261248209634408e-14
3427076,5.125103147581116e-12
3428079,4.248829677579507e-13
3429083,3.573610638467755e-12
3430089,9.95458181347331e-12
3431094,1.22851833953697e-12
3432100,3.911430152765912e-14
