"height","block_counts"
2684400,3
2684401,2
2684402,2
2684403,5
2684404,4
2684406,6
2684407,5
2684408,3
2684409,2
2684410,7
2684411,3
2684412,5
2684413,4
2684414,5
2684415,5
2684416,7
2684417,3
2684418,1
2684419,6
2684420,6
2684421,8
2684422,1
2684423,4
2684424,7
2684425,2
2684426,1
2684427,4
2684428,7
2684429,3
2684430,6
2684431,3
2684432,4
2684433,8
2684434,2
2684435,4
2684436,6
2684437,6
2684438,5
2684439,5
2684440,9
2684441,4
2684442,3
2684443,5
2684444,2
2684445,4
2684446,4
2684447,2
2684448,9
2684449,6
2684450,3
2684451,4
2684452,2
2684453,3
2684454,7
2684455,3
2684456,11
2684457,4
2684458,7
2684459,6
2684460,10
2684461,2
2684462,5
2684463,4
2684464,3
2684465,4
2684466,2
2684467,7
2684468,2
2684469,1
2684470,3
2684471,4
2684472,6
2684473,4
2684474,4
2684475,5
2684476,8
2684477,10
2684478,4
2684479,4
2684480,3
2684481,1
2684482,6
2684483,6
2684484,4
2684485,6
2684486,3
2684487,3
2684488,3
2684489,3
2684490,3
2684491,3
2684492,7
2684493,6
2684494,3
2684495,5
2684496,4
2684497,4
2684498,3
2684499,9
2684500,5
2684501,5
2684502,4
2684503,1
2684504,4
2684505,9
2684506,9
2684507,1
2684508,10
2684509,8
2684510,7
2684511,5
2684512,3
2684513,3
2684514,4
2684515,6
2684516,3
2684517,3
2684518,6
2684519,2
2684520,3
2684521,7
2684522,4
2684523,5
2684524,5
2684525,8
2684526,7
2684527,3
2684528,5
2684529,7
2684530,7
2684531,2
2684532,4
2684533,4
2684534,6
2684535,5
2684536,7
2684537,2
2684538,3
2684539,4
2684540,7
2684541,3
2684542,9
2684543,5
2684544,5
2684545,7
2684546,6
2684547,3
2684548,3
2684549,6
2684550,4
2684551,6
2684552,4
2684553,5
2684554,4
2684555,2
2684556,7
2684557,3
2684558,1
2684559,6
2684560,6
2684561,5
2684562,2
2684563,2
2684564,2
2684565,7
2684566,4
2684567,5
2684568,9
2684569,4
2684570,5
2684571,5
2684572,5
2684573,8
2684574,8
2684575,9
2684576,3
2684577,5
2684578,3
2684579,4
2684580,6
2684581,6
2684582,10
2684583,7
2684584,4
2684585,3
2684586,6
2684587,6
2684588,5
2684589,8
2684590,4
2684591,4
2684592,6
2684593,5
2684594,6
2684595,3
2684596,8
2684597,4
2684598,6
2684599,7
2684600,4
2684601,1
2684602,7
2684603,3
2684604,5
2684605,1
2684606,2
2684607,4
2684608,2
2684609,5
2684610,6
2684611,2
2684612,3
2684613,3
2684614,3
2684615,8
2684616,1
2684617,4
2684618,5
2684619,9
2684620,6
2684621,6
2684622,5
2684623,3
2684624,7
2684625,5
2684626,6
2684627,9
2684628,4
2684629,4
2684630,9
2684631,5
2684632,6
2684633,8
2684634,7
2684635,9
2684636,5
2684637,4
2684638,4
2684639,3
2684640,10
2684641,3
2684642,2
2684643,1
2684644,5
2684645,1
2684646,4
2684647,4
2684648,4
2684649,6
2684650,9
2684651,6
2684652,3
2684653,5
2684654,9
2684655,7
2684656,3
2684657,4
2684658,5
2684659,6
2684660,10
2684661,5
2684662,1
2684663,7
2684664,3
2684665,7
2684666,12
2684667,6
2684668,8
2684669,4
2684670,2
2684671,5
2684672,7
2684673,6
2684674,5
2684675,5
2684676,5
2684677,7
2684678,3
2684679,4
2684680,4
2684681,6
2684682,3
2684683,5
2684684,3
2684685,4
2684686,5
2684687,6
2684688,2
2684689,8
2684690,6
2684691,7
2684692,3
2684693,1
2684694,4
2684695,3
2684696,4
2684697,3
2684698,4
2684699,4
2684700,4
2684701,2
2684702,4
2684703,3
2684704,6
2684705,3
2684706,4
2684707,5
2684708,8
2684709,6
2684710,3
2684711,8
2684712,7
2684713,3
2684714,5
2684715,5
2684716,4
2684717,13
2684718,6
2684719,3
2684720,12
2684721,6
2684722,6
2684723,5
2684724,2
2684725,5
2684726,5
2684727,8
2684728,3
2684729,6
2684730,3
2684731,6
2684732,6
2684733,6
2684734,9
2684735,2
2684736,2
2684737,6
2684738,6
2684739,6
2684740,6
2684741,4
2684742,2
2684743,8
2684744,3
2684745,10
2684746,5
2684747,9
2684748,4
2684750,6
2684751,4
2684752,1
2684753,3
2684754,1
2684755,3
2684756,4
2684757,5
2684758,2
2684759,2
2684760,3
2684761,8
2684762,5
2684763,8
2684764,1
2684765,5
2684766,2
2684767,6
2684768,7
2684769,3
2684770,3
2684771,3
2684772,2
2684773,4
2684774,4
2684775,5
2684776,4
2684777,3
2684778,6
2684779,7
2684780,8
2684781,7
2684782,6
2684783,5
2684784,6
2684785,2
2684786,6
2684787,5
2684788,3
2684789,6
2684790,12
2684791,2
