Height,Error (Validator),Error (Actor)
2685306,1.8440276507065122e-13,7.027966333606943e-06
2686316,1.8440688055349866e-13,1.5565870758892883e-06
2687326,2.6215842820966247e-10,0.018557178503448422
2688335,6.299164572661619e-14,1.2605028050695744e-05
2689342,2.3993856687786424e-12,9.16861987343348e-05
2690351,1.6130947536247833e-12,5.471843379074598e-05
2691362,6.299036542799515e-14,1.0459899311380668e-07
2692370,9.229211601326359e-12,0.0003435712156390611
2693381,1.9022022303730178e-11,0.0018333093736357866
2694387,1.3460303232600579e-14,1.3289682495076565e-06
2695394,1.978330483223571e-14,4.023547247361027e-06
2696402,8.887547152310853e-15,9.123738617660867e-09
2697407,3.2714978212445943e-12,0.00038587493936244853
2698412,1.1332219038985347e-12,5.298822126341597e-05
2699417,1.3291152499836952e-14,1.4244754592058158e-05
2700428,1.9248085773570937e-13,2.5080707632119148e-05
2701437,4.1333472456640597e-14,9.607386074054236e-08
2702440,1.3234564092817369e-14,2.1546933160545904e-07
2703447,9.935689291994077e-17,1.3279185861932649e-07
2704458,2.9103693016813216e-13,0.00021160504880559782
2705469,1.3305794712616274e-10,0.00944781897102285
2706480,1.9456438529933526e-14,2.3661287935573835e-06
2707490,1.6128187367732044e-12,1.858014595147839e-05
2708500,1.162341880843087e-17,1.1096742678751624e-09
2709511,2.6888653998039886e-13,8.037197754262458e-06
2710517,1.8007232451278185e-13,2.5309153171396073e-05
2711528,2.2414886454455597e-12,3.475746104246348e-05
2712534,2.545820324879098e-18,4.37857230600732e-10
2713540,3.2633797418279524e-12,0.0004581274373942463
2714544,2.82489788479015e-14,7.471806515632441e-08
2715547,2.5799978641728074e-11,0.001391281417407144
2716556,4.679640130318209e-12,0.0003248544261649639
2717569,9.440227473669019e-14,0.00011511912448562345
2718578,1.3102813623874054e-14,2.9706507393910865e-06
2719583,4.0985227369216197e-17,1.274533272682513e-08
2720592,3.575157810810373e-11,0.0019180595733920014
2721604,1.82048364793677e-15,1.5304807781464322e-09
2722609,1.5397611083898646e-16,7.373555086280353e-10
2723614,8.521931569053751e-16,1.6460100775393471e-07
2724621,8.950222809837048e-15,7.009701240955493e-07
2725630,6.1088336854853e-14,2.00075666645124e-06
2726634,5.509085402055586e-13,0.007979837035780188
2727641,7.988937881526017e-13,2.012609283258366e-05
2728651,1.1802048552496094e-12,3.835612052995979e-05
2729656,1.8389326303093272e-13,2.3469579141684017e-06
2730666,3.839248566918294e-13,2.5374324460144087e-05
2731676,8.862080932681455e-15,2.140319786376874e-08
2732678,2.5800248123819627e-11,0.0021949357563728613
2733689,1.103617891480922e-12,1.5078815032840053e-05
2734697,1.1304050056465517e-12,1.2422408320193624e-05
2735705,2.8167390865515556e-14,5.10641225389043e-08
2736715,1.8391602179380002e-13,3.228292212291546e-06
2737730,1.1298095247704228e-12,8.732887550378475e-06
2738741,2.6925286105449957e-11,0.024402700843996625
2739756,1.010078212648248e-13,3.3666689862153618e-06
2740765,1.838957829236978e-13,2.0458165688019834e-06
2741778,4.1011361324833676e-17,8.146032762251948e-11
2742783,9.690709353902682e-11,0.006049358684835152
2743796,2.545821528645443e-18,1.5498312252790434e-10
2744802,6.072915740277679e-15,8.157351215942797e-09
2745822,3.1828297684998537e-15,2.3071478551130892e-05
2746838,1.2162893854105613e-15,1.5100845329783785e-05
2747850,1.1432424243074847e-12,0.0001941390854932963
2748861,1.539761096218038e-16,1.2444754911035752e-06
2749868,1.1166930793883443e-12,4.308029890601113e-05
2750876,6.09000746765003e-14,6.637574929243575e-06
2751883,4.636710603089331e-12,3.169349961903197e-05
2752892,7.742124061393691e-12,0.0011049261213293819
2753906,6.817809936741541e-12,0.0005887388895838479
2754917,8.887547324095387e-15,2.903109862286993e-05
2755928,1.842297745676978e-11,0.003618549168511841
2756937,2.530722796820985e-10,0.014169659384145033
2757946,3.575157810816556e-11,0.0015924612538540403
2758953,1.1304110614558653e-12,0.002584442085743739
2759957,1.333369945584048e-08,0.1969494726261932
2760971,5.766518095105409e-08,0.5751288386923994
2761990,1.616858909735659e-10,0.06808851604881698
2763009,7.389247259589671e-09,0.15397843203799028
2764025,1.844765394651519e-12,0.00032060653674023524
2765038,4.768544796347808e-10,0.08229903001424435
2766046,2.335742288558884e-10,0.04332120994606508
2767062,1.2605471338641782e-09,0.07205084243962513
2768071,1.64315371655408e-09,0.08023943235351144
2769090,8.251225179146023e-13,1.3198327280844163e-05
2770101,7.353108606957308e-08,0.34869053092605223
2771114,1.3305806262852772e-10,0.010744115286599848
2772126,4.97387347396429e-11,0.002149834553666445
