Height,Error (Validator),Error (Actor)
3350592,5.382404188534746e-13,4.7846323653767995e-06
3351595,3.574160968471349e-16,8.398569824522705e-08
3352603,2.8260715611298963e-14,6.29593764571747e-07
3353605,8.861175694729747e-15,3.569774338257586e-08
3354612,2.0666186033649995e-11,0.0007550382043038953
3355625,5.51984483151356e-13,2.292858531414078e-06
3356635,2.6571140786768575e-11,0.0032837576781063163
3357639,5.758349455437956e-13,1.3790648173229885e-05
3358643,4.2406648529853804e-14,4.378366140202487e-07
3359650,1.8390136635341917e-13,9.379528377613448e-07
3360656,1.7654329313783273e-17,5.9444236775529655e-09
3361661,2.749366673217386e-16,3.5594875540454076e-09
3362664,2.530720676408876e-10,0.013711169844299301
3363669,1.9161862471472687e-15,1.972404711918655e-07
3364673,1.2817175676812535e-15,7.313026226484106e-07
3365679,1.6128656866013102e-12,3.319441915113445e-05
3366682,4.2406648819572507e-14,7.039079366960752e-06
3367690,2.3310557641108013e-16,2.4211208007367167e-09
3368697,6.29905322478526e-14,5.160306938982995e-07
3369700,3.2636662157987254e-12,7.541988205689686e-05
3370705,1.8403468921036947e-13,9.35713056188917e-07
3371712,3.2716176598387144e-12,0.00014097312232568175
3372717,5.374808843852408e-16,7.688519802426729e-10
3373722,1.9161882340927674e-15,1.1855923195237214e-06
3374727,1.3102815596459783e-14,4.5960085369877285e-08
3375737,1.2842624104229722e-14,3.930853694885727e-06
3376745,9.595813487691889e-11,0.011824129450733441
3377754,4.122176435397373e-14,1.8823469317692034e-07
3378758,2.7229190046854487e-15,6.043773769756864e-08
3379760,9.440227473616602e-14,3.1994303246423463e-06
3380761,1.845450429525413e-15,7.326127639710726e-09
3381767,4.034897843581857e-11,0.002061169355342347
3382770,2.658117041072821e-13,1.4425762768792554e-06
3383780,3.271524010337122e-12,0.00010508903727759149
3384786,1.2340500047786292e-20,1.667075654746488e-12
3385793,6.356262105614222e-15,2.9412106212031644e-06
3386804,1.0438148780300547e-16,2.699204611239087e-08
3387807,5.505405614861302e-13,2.256996847701557e-06
3388812,2.0156850803248225e-14,2.756176979070701e-07
3389818,2.5307208828260517e-10,0.013913242719210834
3390828,3.5354563749643695e-16,1.6285801769423643e-08
3391832,1.9264573041521755e-14,1.1823306830624739e-07
3392840,9.163083932615072e-14,5.75376289696717e-06
3393852,1.517299858295824e-16,7.355173066771945e-10
3394855,3.264749603975819e-12,1.5018931315976353e-05
3395863,6.435310140390819e-10,0.05226695102921829
3396869,3.566822975605547e-11,0.0016236033024469964
3397870,1.0833344631179123e-14,2.8561446615668973e-06
3398878,3.047115502648193e-14,6.871399506121191e-05
3399882,4.041605352618946e-15,5.603715817745708e-09
3400894,1.2934107610374644e-12,1.803581339398698e-05
3401902,1.473765279638474e-11,0.0005294873423391707
3402910,1.27400970667716e-13,7.259168361399023e-06
3403912,1.8441042174458674e-12,0.0002397281196267232
3404919,3.4046136413580993e-12,8.484616723209054e-05
3405922,1.6314853699516667e-12,1.2100758232911766e-05
3406929,2.4521599601641626e-16,8.087929499058048e-08
3407939,1.1328040665772448e-12,1.777828864405866e-05
3408943,1.8440254442835803e-13,5.174362013570624e-06
3409950,9.16310767486377e-14,0.000350575214434977
3410960,3.537902958453499e-16,2.7506840816405898e-08
3411964,1.180204855249621e-12,2.974222206361395e-05
3412973,3.8392306213465274e-13,1.1722534128634408e-06
3413979,4.6770317208746646e-12,0.0001362057066256201
3414984,8.521931565665227e-16,2.5286298735520126e-09
3415992,9.865601547317467e-12,0.0009451967388199346
3417000,2.7493666694507895e-16,4.56105699333567e-10
3418011,4.1316567312868654e-14,1.4566093290480981e-06
3419022,2.753811287180384e-15,3.140961236522136e-07
3420028,4.053992772460838e-15,1.7796224097444154e-08
3421036,1.1332219038987666e-12,0.00013422611184213772
3422044,3.546217425759681e-16,1.4149646481385884e-08
3423054,1.1802022289023845e-12,1.115291388599403e-05
3424059,2.1209115989133382e-13,5.250749529891023e-06
3425065,1.8440688055276102e-13,4.097764057159907e-07
3426071,1.23241326339006e-15,2.0250366093139483e-09
3427076,9.457933967402638e-12,0.0006558571708614696
3428079,7.897263892794784e-13,1.2517595230377576e-05
3429083,6.612497160880535e-12,0.00037551304976216445
3430089,1.8226352780488896e-11,0.0008441252780872805
3431094,2.2968812754344295e-12,3.478439069064685e-05
3432100,4.769766471239096e-14,1.5080417658023913e-05
