Height,Error (Validator),Error (Actor)
901,6.811432865883979e-09,0.16223468260931853
1901,8.967597933061207e-10,0.07116454161419002
2901,5.1710866784118395e-11,0.010179202523608655
3901,5.7258011290063464e-08,0.31367467293703666
4901,1.8330834855050557e-10,0.008767852248618957
5901,1.4662292116742388e-08,0.26089330721955317
6901,2.621562078865471e-10,0.014213080922752584
7901,9.702161753581184e-11,0.022035916748909076
8901,2.0687001424641678e-11,0.0039136073977753955
9901,2.387717952314787e-09,0.11191766256018243
10901,3.0120600664007706e-09,0.12192768454807866
11901,1.8475363828484734e-14,1.5286401148168586e-05
12901,3.504584853173756e-10,0.02165149126294431
13901,9.959752717539817e-09,0.15166454041262045
14901,3.0660748260870605e-10,0.21696085251427125
15901,2.451089955321621e-10,0.011956521661724482
16901,1.1803066525394355e-12,0.00440537809973966
17901,1.6438811846883036e-09,0.07295955317678944
18901,2.7293858617751285e-14,0.00023458485311176523
19901,4.674882440464028e-12,0.0001965963034650108
20901,3.1402136539068976e-08,0.24378441816852348
21901,7.425449988381936e-09,0.16860554873557476
22901,2.5730151343429455e-11,0.004522033910256224
23901,2.5535451458432767e-11,0.001630742839170239
24901,4.0539866020859417e-07,0.4819262984534152
25901,3.5206723183458984e-10,0.06984731991940711
26901,4.2079448450183165e-09,0.16758648685328412
27901,8.176608000278375e-09,0.15251155545325495
28901,3.118794819375618e-09,0.10525516374823385
29901,1.832949042271441e-10,0.01755840413410779
30901,3.713837932818736e-11,0.01068960071859271
31901,3.0122717589627225e-09,0.09718786515797247
32901,3.094551189412757e-10,0.0585917013832352
33901,4.0387682699560327e-11,0.00631542825882233
34901,6.524271041578179e-10,0.03447463205913394
35901,6.522362016281452e-10,0.025274995681538404
36901,6.987882250309778e-11,0.011191951981720448
37901,3.185207558093566e-09,0.12454110640079599
38901,2.764065957598587e-12,0.0006322625010917748
